,neg,neu,pos,compound
316,0.0,1.0,0.0,0.0
317,0.0,1.0,0.0,0.0
318,0.0,0.759,0.241,0.5423
319,0.267,0.558,0.174,-0.5913
320,0.358,0.642,0.0,-0.5994
321,0.0,1.0,0.0,0.0
322,0.357,0.643,0.0,-0.7269
323,0.274,0.726,0.0,-0.5256
324,0.11,0.89,0.0,-0.4767
325,0.0,1.0,0.0,0.0
326,0.082,0.819,0.099,0.128
327,0.175,0.708,0.118,-0.296
328,0.108,0.819,0.073,-0.34
329,0.114,0.886,0.0,-0.4767
330,0.0,1.0,0.0,0.0
331,0.0,1.0,0.0,0.0
332,0.199,0.801,0.0,-0.7351
333,0.219,0.781,0.0,-0.8201
334,0.0,0.824,0.176,0.4588
335,0.066,0.934,0.0,-0.34
336,0.0,1.0,0.0,0.0
337,0.0,1.0,0.0,0.0
338,0.0,1.0,0.0,0.0
339,0.0,1.0,0.0,0.0
340,0.0,1.0,0.0,0.0
341,0.0,0.548,0.452,0.5106
342,0.0,1.0,0.0,0.0
343,0.0,0.69,0.31,0.2023
344,0.0,1.0,0.0,0.0
345,0.0,0.351,0.649,0.5719
346,0.0,1.0,0.0,0.0
347,0.0,1.0,0.0,0.0
348,0.0,0.444,0.556,0.3612
349,0.0,1.0,0.0,0.0
350,0.0,1.0,0.0,0.0
351,0.0,1.0,0.0,0.0
352,0.0,1.0,0.0,0.0
353,0.0,1.0,0.0,0.0
354,0.0,1.0,0.0,0.0
355,0.0,0.675,0.325,0.5927
356,0.0,1.0,0.0,0.0
357,0.0,1.0,0.0,0.0
358,0.0,1.0,0.0,0.0
359,0.0,1.0,0.0,0.0
360,0.0,1.0,0.0,0.0
361,0.0,1.0,0.0,0.0
362,0.0,0.867,0.133,0.6705
363,0.0,1.0,0.0,0.0
364,0.0,1.0,0.0,0.0
365,0.0,1.0,0.0,0.0
366,0.134,0.807,0.059,-0.5267
367,0.247,0.612,0.141,-0.7184
368,0.13,0.87,0.0,-0.34
369,0.118,0.882,0.0,-0.6486
370,0.0,1.0,0.0,0.0
371,0.0,1.0,0.0,0.0
372,0.0,1.0,0.0,0.0
